id,Title,Content
994,"Eat Drink Man Woman (Yin shi nan nu) (1994)",
996,"Exotica (1994)",
998,"Exit to Eden (1994)",
1000,"Ed Wood (1994)",
1002,"French Kiss (1995)",
1004,"Forget Paris (1995)",
1006,"Far From Home: The Adventures of Yellow Dog (1995)",
1008,"Goofy Movie, A (1995)",
1010,"Hideaway (1995)",
1012,"Fluke (1995)",
1014,"Farinelli: il castrato (1994)",
1016,"Gordy (1995)",
1018,"Gumby: The Movie (1995)",
1020,"The Glass Shield (1994)",
1022,"Hoop Dreams (1994)",
1024,"Heavenly Creatures (1994)",
1026,"Houseguest (1994)",
1028,"Immortal Beloved (1994)",
1030,"Heavyweights (Heavy Weights) (1995)",
1032,"Hunted, The (1995)",
1034,"I.Q. (1994)",
1036,"Interview with the Vampire: The Vampire Chronicles (1994)",
1038,"Jefferson in Paris (1995)",
1040,"Jerky Boys, The (1995)",
1042,"Junior (1994)",
1044,"Just Cause (1995)",
1046,"Kid in King Arthur's Court, A (1995)",
1048,"Kiss of Death (1995)",
1050,"Star Wars: Episode IV - A New Hope (1977)",
1052,"Little Women (1994)",
1054,"Little Princess, A (1995)",
1056,"Ladybird Ladybird (1994)",
1058,"Enfer, L' (1994)",
1060,"Like Water for Chocolate (Como agua para chocolate) (1992)",
1062,"Legends of the Fall (1994)",
1064,"Major Payne (1995)",
1066,"Little Odessa (1994)",
1068,"My Crazy Life (Mi vida loca) (1993)",
1070,"Love Affair (1994)",
1072,"Losing Isaiah (1995)",
1074,"Madness of King George, The (1994)",
1076,"Mary Shelley's Frankenstein (Frankenstein) (1994)",
1078,"Man of the House (1995)",
1080,"Mixed Nuts (1994)",
1082,"Milk Money (1994)",
1084,"Miracle on 34th Street (1994)",
1086,"Miami Rhapsody (1995)",
1088,"My Family (1995)",
1090,"Murder in the First (1995)",
1092,"Nobody's Fool (1994)",
1094,"Nell (1994)",
1096,"New Jersey Drive (1995)",
1098,"Beyond Bedlam (1993)",
1100,"Nina Takes a Lover (1994)",
1102,"Natural Born Killers (1994)",
1104,"Only You (1994)",
1106,"Once Were Warriors (1994)",
1108,"Poison Ivy II (1996)",
1110,"Outbreak (1995)",
1112,"L̩on: The Professional (a.k.a. The Professional) (L̩on) (1994)",
1114,"Perez Family, The (1995)",
1116,"Pyromaniac's Love Story, A (1995)",
1118,"Pulp Fiction (1994)",
1120,"Priest (1994)",
1122,"Quiz Show (1994)",
